시도코드,일,시도,합계,경로,국가유공자,어린이,외국인,일반인,장애인,청소년,,시도코드,일,시도,합계,경로,국가유공자,어린이,외국인,일반인,장애인,청소년
,2024-10-05(토),경기도,"2,208,807","247,687","3,571","40,021",651,"1,725,229","34,805","156,843",,,2024-10-28(월),세종특별자치시,"38,578",106,52,618,0,"33,540",24,"4,238"
,2024-10-06(일),경기도,"1,586,704","186,920","2,607","24,013",522,"1,228,947","26,414","117,281",,,2024-10-29(화),세종특별자치시,"39,859",87,63,636,0,"34,870",21,"4,182"
,2024-10-07(월),경기도,"2,799,625","291,156","4,665","24,439",382,"2,212,930","42,529","223,524",,,2024-10-30(수),세종특별자치시,"40,037",105,61,667,0,"34,872",25,"4,307"
,2024-10-08(화),경기도,"2,930,093","297,267","4,781","27,398",318,"2,318,283","43,057","238,989",,,2024-10-31(목),세종특별자치시,"40,447",85,76,587,0,"35,491",25,"4,183"
,2024-10-09(수),경기도,"1,777,540","233,101","3,231","34,567",365,"1,349,868","30,856","125,552",,41,2024-10-17(목),경기도,"2,840,475","293,927","4,605","25,343",555,"2,249,888","42,676","223,481"
,2024-10-10(목),경기도,"2,842,869","294,575","4,624","25,204",403,"2,249,156","42,875","226,032",,,2024-10-18(금),경기도,"2,794,659","263,732","4,175","24,409",543,"2,219,805","39,524","242,471"
,2024-10-11(금),경기도,"2,963,334","299,477","4,806","28,792",488,"2,327,498","43,927","258,346",,,2024-10-19(토),경기도,"2,191,634","251,922","3,553","37,365",711,"1,704,309","35,131","158,643"
,2024-10-12(토),경기도,"2,239,349","253,587","3,607","40,315",682,"1,749,655","35,368","156,135",,,2024-10-20(일),경기도,"1,693,563","204,399","2,815","26,694",614,"1,300,136","28,787","130,118"
,2024-10-13(일),경기도,"1,685,525","201,072","2,751","27,645",745,"1,296,937","28,294","128,081",,,2024-10-21(월),경기도,"2,787,580","291,047","4,645","23,616",447,"2,204,252","42,248","221,325"
,2024-10-14(월),경기도,"2,778,394","288,683","4,566","23,778",428,"2,197,217","41,743","221,979",,,2024-10-22(화),경기도,"2,707,717","256,090","4,151","23,109",398,"2,159,958","37,622","226,389"
43,2024-10-01(화),충청북도,"66,585",85,142,863,0,"58,354",59,"7,082",,,2024-10-23(수),경기도,"2,814,961","286,894","4,523","25,332",509,"2,227,844","41,949","227,910"
,2024-10-02(수),충청북도,"108,513",92,223,"1,004",0,"89,987",93,"17,114",,,2024-10-24(목),경기도,"2,836,706","294,802","4,713","24,098",518,"2,249,226","42,826","220,523"
,2024-10-03(목),충청북도,"61,404",72,146,798,0,"53,871",48,"6,469",,,2024-10-25(금),경기도,"2,959,885","307,083","4,830","27,341",615,"2,332,759","44,241","243,016"
,2024-10-04(금),충청북도,"104,228",121,246,898,0,"90,608",125,"12,230",,,2024-10-26(토),경기도,"2,265,179","257,214","3,630","40,305",744,"1,760,693","35,826","166,767"
,2024-10-05(토),충청북도,"78,480",97,168,900,0,"69,733",84,"7,498",,,2024-10-27(일),경기도,"1,712,100","207,931","2,821","26,911",594,"1,312,151","29,103","132,589"
,2024-10-06(일),충청북도,"60,895",70,119,666,0,"53,770",58,"6,212",,,2024-10-28(월),경기도,"2,782,667","292,986","4,654","23,330",435,"2,203,875","42,114","215,273"
,2024-10-07(월),충청북도,"105,072",114,226,980,0,"87,513",96,"16,143",,,2024-10-29(화),경기도,"2,809,229","296,367","4,640","23,813",395,"2,228,407","42,345","213,262"
,2024-10-08(화),충청북도,"108,552",107,248,"1,012",0,"90,104",98,"16,983",,,2024-10-30(수),경기도,"2,838,720","295,702","4,617","25,428",482,"2,246,875","42,828","222,788"
,2024-10-09(수),충청북도,"65,575",81,152,994,0,"57,501",53,"6,794",,,2024-10-31(목),경기도,"2,838,069","290,834","4,664","23,955",546,"2,261,429","42,404","214,237"
,2024-10-10(목),충청북도,"106,694",97,219,944,0,"88,756",110,"16,568",,43,2024-10-17(목),충청북도,"105,023",106,228,952,0,"87,345",96,"16,296"
,2024-10-11(금),충청북도,"114,889",112,243,"1,022",0,"95,301",107,"18,104",,,2024-10-18(금),충청북도,"104,895",85,247,941,0,"86,751",110,"16,761"
,2024-10-12(토),충청북도,"79,992",103,150,957,0,"70,787",94,"7,901",,,2024-10-19(토),충청북도,"75,526",97,148,909,0,"66,574",104,"7,694"
,2024-10-13(일),충청북도,"63,806",79,129,779,0,"55,782",70,"6,967",,,2024-10-20(일),충청북도,"66,064",66,126,731,0,"58,046",66,"7,029"
,2024-10-14(월),충청북도,"103,421",97,236,933,0,"85,871",106,"16,178",,,2024-10-21(월),충청북도,"104,469",96,221,926,0,"86,904",101,"16,221"
44,2024-10-01(화),충청남도,"121,462","17,010",621,"2,120",13,"82,036","4,539","15,123",,,2024-10-22(화),충청북도,"98,448",99,233,901,0,"81,402",95,"15,718"
,2024-10-02(수),충청남도,"198,027","26,847",875,"2,874",14,"123,973","7,220","36,224",,,2024-10-23(수),충청북도,"103,510",102,232,976,0,"85,725",111,"16,364"
,2024-10-03(목),충청남도,"118,284","16,023",554,"2,367",9,"80,216","4,295","14,820",,,2024-10-24(목),충청북도,"105,444",91,210,932,0,"87,660",109,"16,442"
,2024-10-04(금),충청남도,"182,510","28,775",939,"2,616",11,"120,259","7,177","22,733",,,2024-10-25(금),충청북도,"114,559",114,260,982,0,"95,306",116,"17,781"
,2024-10-05(토),충청남도,"146,190","19,204",616,"2,619",30,"101,844","5,189","16,688",,,2024-10-26(토),충청북도,"80,800",94,149,"1,016",0,"70,608",83,"8,850"
,2024-10-06(일),충청남도,"114,426","12,734",488,"1,642",23,"82,442","3,691","13,406",,,2024-10-27(일),충청북도,"62,915",62,107,651,0,"55,150",66,"6,879"
,2024-10-07(월),충청남도,"184,344","27,880",864,"2,621",6,"113,193","7,177","32,603",,,2024-10-28(월),충청북도,"105,840",128,222,964,0,"88,389",101,"16,036"
,2024-10-08(화),충청남도,"191,796","27,021",880,"2,693",4,"119,647","7,175","34,376",,,2024-10-29(화),충청북도,"103,920",100,241,924,0,"86,478",99,"16,078"
,2024-10-09(수),충청남도,"119,700","17,438",579,"2,464",2,"79,272","4,591","15,354",,,2024-10-30(수),충청북도,"106,066",94,248,993,0,"87,759",94,"16,878"
,2024-10-10(목),충청남도,"186,362","27,208",886,"2,655",4,"114,963","7,133","33,513",,,2024-10-31(목),충청북도,"106,299",110,221,878,0,"88,738",107,"16,245"
,2024-10-11(금),충청남도,"202,803","32,025",963,"2,777",14,"122,499","7,339","37,186",,44,2024-10-17(목),충청남도,"183,730","26,425",901,"2,540",14,"114,004","6,936","32,910"
,2024-10-12(토),충청남도,"148,924","20,011",655,"2,712",16,"102,777","5,242","17,511",,,2024-10-18(금),충청남도,"176,350","23,223",784,"2,304",12,"110,898","6,695","32,434"
,2024-10-13(일),충청남도,"119,401","13,312",505,"1,860",9,"85,120","3,841","14,754",,,2024-10-19(토),충청남도,"144,004","19,877",637,"2,637",11,"98,589","5,258","16,995"
,2024-10-14(월),충청남도,"179,174","27,995",833,"2,433",11,"108,668","6,946","32,288",,,2024-10-20(일),충청남도,"120,672","13,415",497,"2,021",21,"85,513","4,049","15,156"
46,2024-10-01(화),전라남도,"76,172",449,304,"2,271",0,"56,855",41,"16,252",,,2024-10-21(월),충청남도,"181,936","27,263",890,"2,554",7,"111,708","7,308","32,206"
,2024-10-02(수),전라남도,"121,351",739,402,"2,994",0,"85,742",74,"31,400",,,2024-10-22(화),충청남도,"170,286","23,701",872,"2,368",7,"105,118","6,563","31,657"
,2024-10-03(목),전라남도,"67,168",405,240,"1,904",0,"49,888",52,"14,679",,,2024-10-23(수),충청남도,"179,496","25,717",837,"2,639",9,"110,798","7,085","32,411"
,2024-10-04(금),전라남도,"113,379",756,409,"2,698",0,"85,785",85,"23,646",,,2024-10-24(목),충청남도,"186,246","26,170",874,"2,530",11,"117,324","7,008","32,329"
,2024-10-05(토),전라남도,"85,375",428,332,"2,272",0,"65,360",53,"16,930",,,2024-10-25(금),충청남도,"198,634","27,875",898,"2,657",6,"124,774","7,356","35,068"
,2024-10-06(일),전라남도,"60,069",171,199,"1,571",0,"44,752",38,"13,338",,,2024-10-26(토),충청남도,"152,220","19,509",695,"2,841",10,"105,503","5,185","18,477"
,2024-10-07(월),전라남도,"116,259",721,424,"2,983",0,"81,970",79,"30,082",,,2024-10-27(일),충청남도,"121,262","13,217",459,"1,790",36,"86,747","3,945","15,068"
,2024-10-08(화),전라남도,"122,176",820,411,"3,125",0,"84,779",88,"32,953",,,2024-10-28(월),충청남도,"184,376","29,106",922,"2,455",11,"112,539","7,298","32,045"
,2024-10-09(수),전라남도,"75,930",324,302,"2,435",0,"56,994",47,"15,828",,,2024-10-29(화),충청남도,"179,530","26,763",873,"2,425",10,"111,134","6,958","31,367"
,2024-10-10(목),전라남도,"119,400",746,419,"3,099",0,"83,611",71,"31,454",,,2024-10-30(수),충청남도,"179,624","24,778",895,"2,582",6,"112,281","6,894","32,188"
,2024-10-11(금),전라남도,"127,754",831,461,"3,235",0,"88,282",101,"34,844",,,2024-10-31(목),충청남도,"186,823","25,733",876,"2,448",10,"119,130","6,927","31,699"
,2024-10-12(토),전라남도,"90,833",484,328,"2,573",0,"68,773",52,"18,623",,46,2024-10-17(목),전라남도,"117,017",657,426,"2,930",0,"83,717",74,"29,213"
,2024-10-13(일),전라남도,"68,174",255,232,"1,914",0,"49,782",42,"15,949",,,2024-10-18(금),전라남도,"113,895",790,387,"2,732",0,"79,608",86,"30,292"
,2024-10-14(월),전라남도,"113,972",801,401,"2,845",0,"81,008",64,"28,853",,,2024-10-19(토),전라남도,"86,514",429,325,"2,404",0,"64,597",49,"18,710"
47,2024-10-01(화),경상북도,"112,113","5,566",214,"5,350",0,"91,004",150,"9,829",,,2024-10-20(일),전라남도,"67,548",210,233,"1,955",0,"48,633",31,"16,486"
,2024-10-02(수),경상북도,"173,867","8,813",327,"9,481",0,"132,966",220,"22,060",,,2024-10-21(월),전라남도,"115,343",684,416,"2,949",0,"81,585",76,"29,633"
,2024-10-03(목),경상북도,"100,291","5,410",194,"4,819",0,"80,621",132,"9,115",,,2024-10-22(화),전라남도,"108,970",601,367,"2,860",0,"76,550",77,"28,515"
,2024-10-04(금),경상북도,"162,801","8,380",310,"7,511",0,"131,506",204,"14,890",,,2024-10-23(수),전라남도,"115,308",809,409,"3,132",0,"81,376",78,"29,504"
,2024-10-05(토),경상북도,"127,208","6,365",247,"5,542",0,"103,726",174,"11,154",,,2024-10-24(목),전라남도,"115,964",609,409,"2,940",0,"82,990",70,"28,946"
,2024-10-06(일),경상북도,"93,597","4,127",156,"4,169",0,"75,838",140,"9,167",,,2024-10-25(금),전라남도,"121,954",645,445,"2,963",0,"86,562",82,"31,257"
,2024-10-07(월),경상북도,"158,754","8,514",285,"8,687",0,"122,781",225,"18,262",,,2024-10-26(토),전라남도,"90,129",489,346,"2,434",0,"67,120",69,"19,671"
,2024-10-08(화),경상북도,"164,578","8,082",279,"9,348",0,"126,380",211,"20,278",,,2024-10-27(일),전라남도,"63,751",217,226,"1,675",0,"46,624",39,"14,970"
,2024-10-09(수),경상북도,"105,451","5,446",203,"5,071",0,"84,213",140,"10,378",,,2024-10-28(월),전라남도,"116,206",904,449,"2,930",0,"82,554",95,"29,274"
,2024-10-10(목),경상북도,"164,132","8,306",273,"9,248",0,"127,344",213,"18,748",,,2024-10-29(화),전라남도,"115,516",747,425,"2,869",0,"82,111",79,"29,285"
,2024-10-11(금),경상북도,"175,001","8,279",310,"10,183",0,"133,006",230,"22,993",,,2024-10-30(수),전라남도,"116,029",778,437,"3,079",0,"81,736",73,"29,926"
,2024-10-12(토),경상북도,"133,569","7,346",243,"5,908",0,"106,434",152,"13,486",,,2024-10-31(목),전라남도,"115,113",636,420,"2,878",0,"81,857",85,"29,237"
,2024-10-13(일),경상북도,"99,100","4,502",155,"4,731",0,"79,432",136,"10,144",,47,2024-10-17(목),경상북도,"162,201","8,782",309,"8,594",0,"125,786",229,"18,501"
,2024-10-14(월),경상북도,"153,884","8,249",281,"8,515",0,"119,282",196,"17,361",,,2024-10-18(금),경상북도,"162,599","7,716",306,"8,681",0,"125,639",220,"20,037"
48,2024-10-01(화),경상남도,"188,388","3,079",439,"4,178",0,"157,065",382,"23,245",,,2024-10-19(토),경상북도,"112,199","5,482",189,"5,295",0,"89,774",175,"11,284"
,2024-10-02(수),경상남도,"284,633","3,607",643,"4,436",0,"228,305",541,"47,101",,,2024-10-20(일),경상북도,"96,577","4,293",191,"4,698",0,"76,740",152,"10,503"
,2024-10-03(목),경상남도,"161,917","2,692",354,"3,226",0,"135,173",335,"20,137",,,2024-10-21(월),경상북도,"156,038","8,039",282,"8,390",0,"121,195",212,"17,920"
,2024-10-04(금),경상남도,"274,947","4,068",644,"4,121",0,"228,086",544,"37,484",,,2024-10-22(화),경상북도,"144,640","6,887",266,"8,268",0,"111,635",195,"17,389"
,2024-10-05(토),경상남도,"218,985","3,375",469,"4,419",0,"184,150",465,"26,107",,,2024-10-23(수),경상북도,"156,953","8,025",291,"8,465",0,"122,185",206,"17,781"
,2024-10-06(일),경상남도,"148,308","2,501",316,"2,501",0,"124,356",320,"18,314",,,2024-10-24(목),경상북도,"160,114","8,248",292,"8,509",0,"124,683",212,"18,170"
,2024-10-07(월),경상남도,"268,858","3,491",638,"3,920",0,"214,453",487,"45,869",,,2024-10-25(금),경상북도,"175,161","8,342",322,"9,281",0,"136,197",239,"20,780"
,2024-10-08(화),경상남도,"287,996","4,014",695,"4,212",0,"231,071",544,"47,460",,,2024-10-26(토),경상북도,"132,805","6,103",217,"5,989",0,"107,066",180,"13,250"
,2024-10-09(수),경상남도,"178,174","3,004",447,"4,090",0,"147,739",441,"22,453",,,2024-10-27(일),경상북도,"99,301","5,224",151,"4,390",0,"79,386",139,"10,011"
,2024-10-10(목),경상남도,"279,799","3,741",656,"4,142",0,"224,419",567,"46,274",,,2024-10-28(월),경상북도,"153,803","8,105",279,"8,220",0,"119,699",217,"17,283"
,2024-10-11(금),경상남도,"295,513","3,929",698,"4,337",0,"235,536",557,"50,456",,,2024-10-29(화),경상북도,"155,839","7,935",290,"8,244",0,"121,699",209,"17,462"
,2024-10-12(토),경상남도,"224,077","3,337",537,"4,486",0,"187,789",438,"27,490",,,2024-10-30(수),경상북도,"157,397","7,779",288,"8,564",0,"123,009",222,"17,535"
,2024-10-13(일),경상남도,"161,276","2,862",370,"2,948",0,"134,197",352,"20,547",,,2024-10-31(목),경상북도,"160,250","7,977",263,"8,518",0,"125,458",220,"17,814"
,2024-10-14(월),경상남도,"268,156","3,593",665,"3,874",0,"214,944",537,"44,543",,48,2024-10-17(목),경상남도,"278,821","3,746",674,"3,959",0,"225,337",548,"44,557"
50,2024-10-01(화),제주특별자치도,"59,657","12,577",161,"1,282",0,"36,419","2,182","7,036",,,2024-10-18(금),경상남도,"270,679","3,600",641,"3,641",0,"217,345",541,"44,911"
,2024-10-02(수),제주특별자치도,"91,431","17,712",268,"2,279",0,"51,301","3,490","16,381",,,2024-10-19(토),경상남도,"202,856","3,050",460,"3,919",0,"168,943",444,"26,040"
,2024-10-03(목),제주특별자치도,"57,192","11,460",163,"1,278",0,"34,952","2,057","7,282",,,2024-10-20(일),경상남도,"168,797","2,602",370,"3,569",0,"138,599",366,"23,291"
,2024-10-04(금),제주특별자치도,"83,453","18,176",265,"1,760",0,"48,288","3,355","11,609",,,2024-10-21(월),경상남도,"266,549","3,644",653,"3,891",0,"214,267",523,"43,571"
,2024-10-05(토),제주특별자치도,"66,340","14,035",197,"1,479",0,"39,869","2,483","8,277",,,2024-10-22(화),경상남도,"244,252","2,756",534,"3,533",0,"195,230",427,"41,772"
,2024-10-06(일),제주특별자치도,"54,937","10,650",179,"1,094",0,"34,576","1,881","6,557",,,2024-10-23(수),경상남도,"273,753","3,975",651,"4,064",0,"220,823",575,"43,665"
,2024-10-07(월),제주특별자치도,"88,427","18,324",261,"2,073",0,"48,964","3,427","15,378",,,2024-10-24(목),경상남도,"272,440","3,751",629,"4,186",0,"220,601",550,"42,723"
,2024-10-08(화),제주특별자치도,"90,970","17,846",261,"2,253",0,"51,324","3,456","15,830",,,2024-10-25(금),경상남도,"288,474","3,913",692,"4,152",0,"232,797",567,"46,353"
,2024-10-09(수),제주특별자치도,"55,561","11,554",182,"1,114",0,"34,016","1,918","6,777",,,2024-10-26(토),경상남도,"225,202","3,491",535,"4,665",0,"188,408",489,"27,614"
,2024-10-10(목),제주특별자치도,"89,119","17,956",261,"2,106",0,"49,688","3,389","15,719",,,2024-10-27(일),경상남도,"155,442","2,619",379,"2,820",0,"129,684",365,"19,575"
,2024-10-11(금),제주특별자치도,"91,158","17,502",280,"2,176",0,"50,768","3,439","16,993",,,2024-10-28(월),경상남도,"268,066","3,819",663,"3,772",0,"215,296",564,"43,952"
,2024-10-12(토),제주특별자치도,"67,798","14,135",189,"1,414",0,"40,736","2,500","8,824",,,2024-10-29(화),경상남도,"269,695","3,840",631,"3,824",0,"217,675",549,"43,176"
,2024-10-13(일),제주특별자치도,"58,035","10,929",201,"1,162",0,"36,318","1,973","7,452",,,2024-10-30(수),경상남도,"276,144","3,819",681,"4,184",0,"221,287",552,"45,621"
,2024-10-14(월),제주특별자치도,"87,341","17,977",266,"2,100",0,"47,756","3,318","15,924",,,2024-10-31(목),경상남도,"273,130","3,588",660,"3,850",0,"220,512",558,"43,962"
51,2024-10-01(화),강원특별자치도,"59,064","1,464",126,870,28,"51,109",291,"5,176",,50,2024-10-17(목),제주특별자치도,"86,390","17,141",259,"2,162",0,"47,941","3,297","15,590"
,2024-10-02(수),강원특별자치도,"98,216","1,609",189,"1,238",49,"79,508",378,"15,245",,,2024-10-18(금),제주특별자치도,"85,521","17,087",234,"2,139",0,"46,598","3,371","16,092"
,2024-10-03(목),강원특별자치도,"58,260","1,484",128,886,35,"50,213",299,"5,215",,,2024-10-19(토),제주특별자치도,"66,712","13,682",200,"1,525",0,"38,891","2,454","9,960"
,2024-10-04(금),강원특별자치도,"93,882","1,698",191,"1,164",33,"79,081",394,"11,321",,,2024-10-20(일),제주특별자치도,"54,343","10,210",142,"1,105",0,"33,214","1,841","7,831"
,2024-10-05(토),강원특별자치도,"69,079","1,602",140,"1,018",34,"59,274",319,"6,692",,,2024-10-21(월),제주특별자치도,"84,295","17,244",278,"2,056",0,"46,069","3,371","15,277"
,2024-10-06(일),강원특별자치도,"52,737","1,359",105,665,34,"44,752",243,"5,579",,,2024-10-22(화),제주특별자치도,"83,471","17,273",254,"2,045",0,"46,007","3,299","14,593"
,2024-10-07(월),강원특별자치도,"92,950","1,646",200,"1,201",30,"75,784",368,"13,721",,,2024-10-23(수),제주특별자치도,"85,227","16,666",250,"2,226",0,"47,293","3,284","15,508"
,2024-10-08(화),강원특별자치도,"88,409","1,602",183,"1,200",4,"71,215",379,"13,826",,,2024-10-24(목),제주특별자치도,"85,552","16,691",255,"2,113",0,"48,181","3,232","15,080"
,2024-10-09(수),강원특별자치도,"58,244","1,702",125,892,4,"49,417",307,"5,797",,,2024-10-25(금),제주특별자치도,"87,917","17,280",255,"2,120",0,"48,933","3,392","15,937"
,2024-10-10(목),강원특별자치도,"92,414","1,661",187,"1,188",16,"75,121",357,"13,884",,,2024-10-26(토),제주특별자치도,"66,177","13,495",182,"1,428",0,"39,485","2,317","9,270"
,2024-10-11(금),강원특별자치도,"97,164","1,481",172,"1,258",9,"78,701",383,"15,160",,,2024-10-27(일),제주특별자치도,"50,799","9,510",138,895,0,"31,613","1,633","7,010"
,2024-10-12(토),강원특별자치도,"70,632","1,505",139,894,1,"60,928",345,"6,820",,,2024-10-28(월),제주특별자치도,"86,081","18,189",257,"2,080",0,"46,566","3,356","15,633"
,2024-10-13(일),강원특별자치도,"54,313","1,468",97,741,23,"45,951",295,"5,738",,,2024-10-29(화),제주특별자치도,"85,548","17,384",255,"2,103",0,"47,153","3,306","15,347"
,2024-10-14(월),강원특별자치도,"90,057","1,472",176,"1,151",18,"73,383",325,"13,532",,,2024-10-30(수),제주특별자치도,"85,414","16,446",263,"2,164",0,"47,453","3,331","15,757"
52,2024-10-01(화),전북특별자치도,"67,404",0,204,926,0,"59,267",33,"6,974",,,2024-10-31(목),제주특별자치도,"84,836","16,254",243,"2,088",0,"47,618","3,259","15,374"
,2024-10-02(수),전북특별자치도,"117,696",0,313,"1,149",0,"98,764",50,"17,420",,51,2024-10-17(목),강원특별자치도,"93,098","1,572",186,"1,165",11,"76,332",378,"13,454"
,2024-10-03(목),전북특별자치도,"62,641",1,175,817,0,"54,708",38,"6,902",,,2024-10-18(금),강원특별자치도,"86,614","1,417",184,"1,043",8,"70,441",364,"13,157"
,2024-10-04(금),전북특별자치도,"113,614",2,318,"1,093",0,"98,030",66,"14,105",,,2024-10-19(토),강원특별자치도,"59,246","1,386",111,785,12,"50,662",296,"5,994"
,2024-10-05(토),전북특별자치도,"79,220",0,229,993,0,"69,747",38,"8,213",,,2024-10-20(일),강원특별자치도,"53,867","1,432",108,746,21,"45,677",270,"5,613"
,2024-10-06(일),전북특별자치도,"56,272",0,155,651,0,"49,237",34,"6,195",,,2024-10-21(월),강원특별자치도,"90,493","1,531",194,"1,132",22,"73,896",368,"13,350"
,2024-10-07(월),전북특별자치도,"112,754",1,344,"1,049",0,"95,291",48,"16,021",,,2024-10-22(화),강원특별자치도,"79,816","1,258",173,"1,018",6,"64,868",318,"12,175"
,2024-10-08(화),전북특별자치도,"118,590",0,340,"1,024",0,"99,553",48,"17,625",,,2024-10-23(수),강원특별자치도,"86,580","1,519",189,"1,241",5,"70,153",305,"13,168"
,2024-10-09(수),전북특별자치도,"68,886",1,204,992,0,"60,509",37,"7,143",,,2024-10-24(목),강원특별자치도,"91,415","1,619",189,"1,174",27,"75,046",382,"12,978"
,2024-10-10(목),전북특별자치도,"115,354",0,332,"1,023",0,"97,513",58,"16,428",,,2024-10-25(금),강원특별자치도,"99,008","1,906",203,"1,160",20,"81,491",390,"13,838"
,2024-10-11(금),전북특별자치도,"121,567",1,322,"1,050",0,"101,316",44,"18,834",,,2024-10-26(토),강원특별자치도,"74,272","1,773",150,"1,014",36,"63,557",352,"7,390"
,2024-10-12(토),전북특별자치도,"80,843",0,220,"1,002",0,"70,642",38,"8,941",,,2024-10-27(일),강원특별자치도,"62,337","1,579",125,737,9,"53,745",346,"5,796"
,2024-10-13(일),전북특별자치도,"59,868",0,161,680,0,"51,976",40,"7,011",,,2024-10-28(월),강원특별자치도,"88,245","1,740",195,"1,086",12,"71,636",344,"13,232"
,2024-10-14(월),전북특별자치도,"110,233",1,300,899,0,"93,620",44,"15,369",,,2024-10-29(화),강원특별자치도,"89,146","1,847",195,"1,141",18,"72,716",352,"12,877"
,,,,,,,,,,,,,2024-10-30(수),강원특별자치도,"90,120","1,906",197,"1,228",13,"72,920",362,"13,494"
,,,,,,,,,,,,,2024-10-31(목),강원특별자치도,"91,566","1,828",192,"1,146",37,"74,737",359,"13,267"
,,,,,,,,,,,,52,2024-10-17(목),전북특별자치도,"112,482",1,311,"1,011",0,"95,679",46,"15,434"
,,,,,,,,,,,,,2024-10-18(금),전북특별자치도,"111,849",0,311,940,0,"94,204",44,"16,350"
,,,,,,,,,,,,,2024-10-19(토),전북특별자치도,"79,024",0,203,968,0,"68,682",39,"9,132"
,,,,,,,,,,,,,2024-10-20(일),전북특별자치도,"61,446",0,152,716,0,"52,969",28,"7,581"
,,,,,,,,,,,,,2024-10-21(월),전북특별자치도,"111,814",1,326,953,0,"94,819",48,"15,667"
,,,,,,,,,,,,,2024-10-22(화),전북특별자치도,"106,312",0,283,901,0,"89,845",40,"15,243"
,,,,,,,,,,,,,2024-10-23(수),전북특별자치도,"111,183",0,317,"1,050",0,"94,503",43,"15,270"
,,,,,,,,,,,,,2024-10-24(목),전북특별자치도,"114,391",1,300,938,0,"97,984",48,"15,120"
,,,,,,,,,,,,,2024-10-25(금),전북특별자치도,"118,201",1,322,974,0,"100,277",64,"16,563"
,,,,,,,,,,,,,2024-10-26(토),전북특별자치도,"84,994",1,223,"1,193",0,"73,755",36,"9,786"
,,,,,,,,,,,,,2024-10-27(일),전북특별자치도,"58,611",0,149,620,0,"50,466",31,"7,345"
,,,,,,,,,,,,,2024-10-28(월),전북특별자치도,"112,632",0,326,939,0,"96,209",54,"15,104"
,,,,,,,,,,,,,2024-10-29(화),전북특별자치도,"111,784",1,301,950,0,"95,363",46,"15,123"
,,,,,,,,,,,,,2024-10-30(수),전북특별자치도,"111,157",0,300,989,0,"94,642",45,"15,181"
,,,,,,,,,,,,,2024-10-31(목),전북특별자치도,"112,170",0,308,963,0,"95,891",59,"14,949"